2022-08-04 09:08:40.2878 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 09:35:41.0165 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 09:38:33.3439 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 09:39:20.0025 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 09:42:44.0791 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 09:50:59.4572 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 09:52:02.2037 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 09:56:35.3390 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 10:01:29.7516 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 10:05:20.4546 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 10:08:25.1300 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 10:15:14.6113 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 10:17:40.7510 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 10:53:55.6139 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 10:55:13.5681 | ApiNotebook.Controllers.WorkersController.Post | INFO | Создан сотрудник string c id=3fa85f64-5717-4562-b3fc-2c963f66afa9, редактор Karl 

2022-08-04 11:09:14.7348 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 11:10:09.5463 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 11:13:43.3152 | ApiNotebook.Program.Main | INFO | init main2 

2022-08-04 12:11:32.0015 | ApiNotebook.Program.Main | INFO | init main2 

